collection_date,positive_result,positive_tests,total_tests,positivity,positivity_7day
2022-06-13,COVID,3247,11498,0.28239693859801707,0.2628251095520365
2022-06-13,FluA,82,11498,0.0071316750739259,0.008162177058603752
2022-06-14,COVID,3003,10928,0.274798682284041,0.2627969581952368
2022-06-14,FluA,86,10928,0.0078696925329429,0.007802125591608784
2022-06-15,COVID,2856,11256,0.2537313432835821,0.2643100919150648
2022-06-15,FluA,69,11256,0.0061300639658848615,0.0074345415935453815
2022-06-16,COVID,2822,11206,0.25182937711940034,0.26578741366123676
2022-06-16,FluA,67,11206,0.0059789398536498305,0.007043035599259326
2022-06-17,COVID,2830,10829,0.2613353033521101,0.267830994485682
2022-06-17,FluA,60,10829,0.005540677809585373,0.00669036682187725
2022-06-18,COVID,2184,8002,0.27293176705823546,0.2705292484520569
2022-06-18,FluA,39,8002,0.004873781554611347,0.006522130298773318
2022-06-19,COVID,2159,6632,0.3255428226779252,0.2746523191961873
2022-06-19,FluA,35,6632,0.0052774427020506635,0.006114610498950125
2022-06-20,COVID,3518,10757,0.32704285581481823,0.28103030737001605
2022-06-20,FluA,81,10757,0.007529980477828391,0.0061715112709361955
2022-06-21,COVID,3200,11145,0.2871242709735307,0.2827911057542289
2022-06-21,FluA,59,11145,0.0052938537460744724,0.005803534301383563
2022-06-22,COVID,3247,11737,0.2766465025134191,0.2860646999299199
2022-06-22,FluA,61,11737,0.0051972394990201926,0.005670273663260039
2022-06-23,COVID,3000,11654,0.25742234425948174,0.2868636952356458
2022-06-23,FluA,35,11654,0.003003260683027287,0.005245176638885389
2022-06-24,COVID,2983,10520,0.2835551330798479,0.29003795662532267
2022-06-24,FluA,29,10520,0.002756653992395437,0.004847458950715399
2022-06-25,COVID,2417,8090,0.2987639060568603,0.2937282621965548
2022-06-25,FluA,21,8090,0.002595797280593325,0.004522032625855681
2022-06-26,COVID,2562,7283,0.3517781134148016,0.29747616087325135
2022-06-26,FluA,24,7283,0.0032953453247288205,0.004238875857666847
2022-06-27,COVID,3857,11125,0.34669662921348315,0.3002838427873464
2022-06-27,FluA,35,11125,0.003146067415730337,0.0036126025630814104
2022-06-28,COVID,3452,10749,0.32114615313052375,0.3051441116669168
2022-06-28,FluA,40,10749,0.003721276397804447,0.003387948656185692
2022-06-29,COVID,3189,11531,0.27655884138409503,0.3051315886484419
2022-06-29,FluA,38,11531,0.003295464400312202,0.003116266499227408
2022-06-30,COVID,3087,10896,0.2833149779735683,0.3088305363218829
2022-06-30,FluA,42,10896,0.003854625550660793,0.00323789005174648
2022-07-01,COVID,2964,10699,0.2770352369380316,0.30789912258733765
2022-07-01,FluA,25,10699,0.002336666978222264,0.003177891906864598
2022-07-02,COVID,2444,8906,0.27442173815405346,0.30442167002979387
